student_name,enrollment_number,branch,date,present,course,year_semester
Student_1,25363900,ECE,2026-04-01,1,Signals,2-1
Student_1,25363900,ECE,2026-04-01,0,semiconductors,2-1
Student_1,25363900,ECE,2026-04-01,1,python,2-1
Student_1,25363900,ECE,2026-04-01,1,MSI,2-1
Student_1,25363900,ECE,2026-04-02,1,Signals,2-1
Student_1,25363900,ECE,2026-04-02,1,semiconductors,2-1
Student_1,25363900,ECE,2026-04-02,1,python,2-1
Student_1,25363900,ECE,2026-04-02,0,MSI,2-1
Student_1,25363900,ECE,2026-04-03,1,Signals,2-1
Student_1,25363900,ECE,2026-04-03,0,semiconductors,2-1
Student_1,25363900,ECE,2026-04-03,1,python,2-1
Student_1,25363900,ECE,2026-04-03,0,MSI,2-1
Student_1,25363900,ECE,2026-04-04,0,Signals,2-1
Student_1,25363900,ECE,2026-04-04,1,semiconductors,2-1
Student_1,25363900,ECE,2026-04-04,1,python,2-1
Student_1,25363900,ECE,2026-04-04,1,MSI,2-1
Student_1,25363900,ECE,2026-04-05,1,Signals,2-1
Student_1,25363900,ECE,2026-04-05,0,semiconductors,2-1
Student_1,25363900,ECE,2026-04-05,0,python,2-1
Student_1,25363900,ECE,2026-04-05,1,MSI,2-1
Student_1,25363900,ECE,2026-04-06,1,Signals,2-1
Student_1,25363900,ECE,2026-04-06,1,semiconductors,2-1
Student_1,25363900,ECE,2026-04-06,1,python,2-1
Student_1,25363900,ECE,2026-04-06,1,MSI,2-1
Student_1,25363900,ECE,2026-04-07,1,Signals,2-1
Student_1,25363900,ECE,2026-04-07,0,semiconductors,2-1
Student_1,25363900,ECE,2026-04-07,1,python,2-1
Student_1,25363900,ECE,2026-04-07,1,MSI,2-1
Student_2,25064421,EE,2026-04-01,1,Circuits,2-1
Student_2,25064421,EE,2026-04-01,1,Electromagnetics,2-1
Student_2,25064421,EE,2026-04-01,1,Network Theory,2-1
Student_2,25064421,EE,2026-04-01,1,Data Science,2-1
Student_2,25064421,EE,2026-04-02,1,Circuits,2-1
Student_2,25064421,EE,2026-04-02,0,Electromagnetics,2-1
Student_2,25064421,EE,2026-04-02,0,Network Theory,2-1
Student_2,25064421,EE,2026-04-02,0,Data Science,2-1
Student_2,25064421,EE,2026-04-03,1,Circuits,2-1
Student_2,25064421,EE,2026-04-03,1,Electromagnetics,2-1
Student_2,25064421,EE,2026-04-03,1,Network Theory,2-1
Student_2,25064421,EE,2026-04-03,1,Data Science,2-1
Student_2,25064421,EE,2026-04-04,1,Circuits,2-1
Student_2,25064421,EE,2026-04-04,0,Electromagnetics,2-1
Student_2,25064421,EE,2026-04-04,1,Network Theory,2-1
Student_2,25064421,EE,2026-04-04,0,Data Science,2-1
Student_2,25064421,EE,2026-04-05,1,Circuits,2-1
Student_2,25064421,EE,2026-04-05,0,Electromagnetics,2-1
Student_2,25064421,EE,2026-04-05,1,Network Theory,2-1
Student_2,25064421,EE,2026-04-05,0,Data Science,2-1
Student_2,25064421,EE,2026-04-06,1,Circuits,2-1
Student_2,25064421,EE,2026-04-06,1,Electromagnetics,2-1
Student_2,25064421,EE,2026-04-06,0,Network Theory,2-1
Student_2,25064421,EE,2026-04-06,1,Data Science,2-1
Student_2,25064421,EE,2026-04-07,0,Circuits,2-1
Student_2,25064421,EE,2026-04-07,0,Electromagnetics,2-1
Student_2,25064421,EE,2026-04-07,1,Network Theory,2-1
Student_2,25064421,EE,2026-04-07,0,Data Science,2-1
Student_3,21370719,METALLURGY,2026-04-01,1,Extractive Metallurgy,2-1
Student_3,21370719,METALLURGY,2026-04-01,1,Physical Metallurgy,2-1
Student_3,21370719,METALLURGY,2026-04-01,1,Materials Science,2-1
Student_3,21370719,METALLURGY,2026-04-01,1,MSI,2-1
Student_3,21370719,METALLURGY,2026-04-02,1,Extractive Metallurgy,2-1
Student_3,21370719,METALLURGY,2026-04-02,1,Physical Metallurgy,2-1
Student_3,21370719,METALLURGY,2026-04-02,0,Materials Science,2-1
Student_3,21370719,METALLURGY,2026-04-02,1,MSI,2-1
Student_3,21370719,METALLURGY,2026-04-03,1,Extractive Metallurgy,2-1
Student_3,21370719,METALLURGY,2026-04-03,1,Physical Metallurgy,2-1
Student_3,21370719,METALLURGY,2026-04-03,1,Materials Science,2-1
Student_3,21370719,METALLURGY,2026-04-03,0,MSI,2-1
Student_3,21370719,METALLURGY,2026-04-04,1,Extractive Metallurgy,2-1
Student_3,21370719,METALLURGY,2026-04-04,0,Physical Metallurgy,2-1
Student_3,21370719,METALLURGY,2026-04-04,0,Materials Science,2-1
Student_3,21370719,METALLURGY,2026-04-04,1,MSI,2-1
Student_3,21370719,METALLURGY,2026-04-05,1,Extractive Metallurgy,2-1
Student_3,21370719,METALLURGY,2026-04-05,0,Physical Metallurgy,2-1
Student_3,21370719,METALLURGY,2026-04-05,0,Materials Science,2-1
Student_3,21370719,METALLURGY,2026-04-05,0,MSI,2-1
Student_3,21370719,METALLURGY,2026-04-06,1,Extractive Metallurgy,2-1
Student_3,21370719,METALLURGY,2026-04-06,1,Physical Metallurgy,2-1
Student_3,21370719,METALLURGY,2026-04-06,1,Materials Science,2-1
Student_3,21370719,METALLURGY,2026-04-06,1,MSI,2-1
Student_3,21370719,METALLURGY,2026-04-07,1,Extractive Metallurgy,2-1
Student_3,21370719,METALLURGY,2026-04-07,1,Physical Metallurgy,2-1
